timestamp,x,y,z,phi,theta,psi,u,v,w,p,q,r,tau_X,tau_Y,tau_Z,tau_K,tau_M,tau_N,D_u,D_v,D_w,dist_u,dist_v,pwm_1,thrust_1,pwm_2,thrust_2,pwm_3,thrust_3,pwm_4,thrust_4,pwm_5,thrust_5,pwm_6,thrust_6,pwm_7,thrust_7,pwm_8,thrust_8
1790144879.97746,0.00000,0.00000,0.00000,-0.00263,0.00607,-2.00631,0.00000,0.00000,0.00000,-0.00021,0.00056,-0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.00790,0.00000,0.00000,0.00000,-0.00263,0.00607,-2.00631,0.00000,0.00000,0.00000,-0.00021,0.00056,-0.00101,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.04025,0.00000,0.00000,0.00000,-0.00261,0.00610,-2.00644,0.00000,0.00000,0.00000,-0.00051,0.00064,-0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.07973,0.00000,0.00000,0.00000,-0.00261,0.00610,-2.00644,0.00000,0.00000,0.00000,-0.00051,0.00064,-0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.11082,0.00000,0.00000,0.00000,-0.00261,0.00610,-2.00644,0.00000,0.00000,0.00000,-0.00051,0.00064,-0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.15057,0.00000,0.00000,0.00000,-0.00260,0.00612,-2.00630,0.00000,0.00000,0.00000,0.00038,0.00059,-0.00031,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.18298,0.00000,0.00000,0.00000,-0.00260,0.00612,-2.00630,0.00000,0.00000,0.00000,0.00038,0.00059,-0.00031,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.21489,0.00000,0.00000,0.00000,-0.00260,0.00612,-2.00630,0.00000,0.00000,0.00000,0.00038,0.00059,-0.00031,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.24670,0.00000,0.00000,0.00000,-0.00255,0.00610,-2.00635,0.00000,0.00000,0.00000,0.00080,-0.00013,-0.00039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.28097,0.00000,0.00000,0.00000,-0.00255,0.00610,-2.00635,0.00000,0.00000,0.00000,0.00080,-0.00013,-0.00039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.31187,0.00000,0.00000,0.00000,-0.00255,0.00610,-2.00635,0.00000,0.00000,0.00000,0.00080,-0.00013,-0.00039,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.34541,0.00000,0.00000,0.00000,-0.00247,0.00605,-2.00662,0.00000,0.00000,0.00000,0.00063,0.00005,-0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.38570,0.00000,0.00000,0.00000,-0.00247,0.00605,-2.00662,0.00000,0.00000,0.00000,0.00063,0.00005,-0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.41803,0.00000,0.00000,0.00000,-0.00247,0.00605,-2.00662,0.00000,0.00000,0.00000,0.00063,0.00005,-0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.45011,0.00000,0.00000,0.00000,-0.00243,0.00605,-2.00698,0.00000,0.00000,0.00000,-0.00000,0.00006,-0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.47959,0.00000,0.00000,0.00000,-0.00243,0.00605,-2.00698,0.00000,0.00000,0.00000,-0.00000,0.00006,-0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.51097,0.00000,0.00000,0.00000,-0.00243,0.00605,-2.00698,0.00000,0.00000,0.00000,-0.00000,0.00006,-0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.54511,0.00000,0.00000,0.00000,-0.00243,0.00604,-2.00706,0.00000,0.00000,0.00000,0.00043,-0.00022,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.57787,0.00000,0.00000,0.00000,-0.00243,0.00604,-2.00706,0.00000,0.00000,0.00000,0.00043,-0.00022,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.61025,0.00000,0.00000,0.00000,-0.00243,0.00604,-2.00706,0.00000,0.00000,0.00000,0.00043,-0.00022,-0.00089,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.64367,0.00000,0.00000,0.00000,-0.00245,0.00605,-2.00688,0.00000,0.00000,0.00000,-0.00073,-0.00006,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.68086,0.00000,0.00000,0.00000,-0.00245,0.00605,-2.00688,0.00000,0.00000,0.00000,-0.00073,-0.00006,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.71391,0.00000,0.00000,0.00000,-0.00245,0.00605,-2.00688,0.00000,0.00000,0.00000,-0.00073,-0.00006,-0.00063,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.74753,0.00000,0.00000,0.00000,-0.00246,0.00604,-2.00679,0.00000,0.00000,0.00000,0.00039,0.00050,-0.00108,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.77896,0.00000,0.00000,0.00000,-0.00246,0.00604,-2.00679,0.00000,0.00000,0.00000,0.00039,0.00050,-0.00108,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.81256,0.00000,0.00000,0.00000,-0.00246,0.00604,-2.00679,0.00000,0.00000,0.00000,0.00039,0.00050,-0.00108,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
1790144880.84509,0.00000,0.00000,0.00000,-0.00243,0.00604,-2.00689,0.00000,0.00000,0.00000,0.00006,-0.00049,-0.00116,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000,1500.00000,0.00000
